[28.54215499999999, 77.118541, 'transport', 'DELHI', 'airport']
[28.55616239999999, 77.0999578, 'transport', 'DELHI', 'airport']
[28.565744, 77.231977, 'transport', 'DELHI', 'airport']
[28.58340859999999, 77.2072549, 'transport', 'DELHI', 'airport']
[28.497424, 77.476553, 'transport', 'DELHI', 'airport']
[28.56536599999999, 77.124426, 'transport', 'DELHI', 'airport']
[28.651499, 77.12677, 'transport', 'DELHI', 'airport']
[28.631034, 77.2240344, 'transport', 'DELHI', 'airport']
[28.530317, 77.098317, 'transport', 'DELHI', 'airport']
[28.570285, 77.326666, 'transport', 'DELHI', 'airport']
[28.5250135, 77.15708800000002, 'transport', 'DELHI', 'airport']
[28.5563862, 77.1015256, 'transport', 'DELHI', 'airport']
[28.5548727, 77.0843095, 'transport', 'DELHI', 'airport']
[29.0228474, 77.0681321, 'transport', 'DELHI', 'airport']
[28.573291, 77.221942, 'transport', 'DELHI', 'airport']
[28.5650253, 77.2598612, 'transport', 'DELHI', 'airport']
[28.5780648, 77.118087, 'transport', 'DELHI', 'airport']
[28.5641431, 77.120283, 'transport', 'DELHI', 'airport']
[28.5628054, 77.12030109999999, 'transport', 'DELHI', 'airport']
[28.5625414, 77.11997459999999, 'transport', 'DELHI', 'airport']
[28.7237279, 77.1135924, 'alts', 'DELHI', 'amusement_park']
[28.8027303, 77.1447436, 'alts', 'DELHI', 'amusement_park']
[28.8503127, 77.12806479999999, 'alts', 'DELHI', 'amusement_park']
[28.376822, 76.96240499999999, 'alts', 'DELHI', 'amusement_park']
[28.564019, 77.32469499999999, 'alts', 'DELHI', 'amusement_park']
[28.563633, 77.3258972, 'alts', 'DELHI', 'amusement_park']
[28.7265879, 77.1147698, 'alts', 'DELHI', 'amusement_park']
[28.6535362, 77.12306050000001, 'alts', 'DELHI', 'amusement_park']
[28.7430732, 77.1959734, 'alts', 'DELHI', 'amusement_park']
[28.89407659999999, 77.1351184, 'alts', 'DELHI', 'amusement_park']
[28.7255636, 77.1149415, 'alts', 'DELHI', 'amusement_park']
[28.6222724, 77.2058064, 'alts', 'DELHI', 'amusement_park']
[28.72547420000001, 77.1157327, 'alts', 'DELHI', 'amusement_park']
