[10.1517834, 76.392958, 'transport', 'KOCHI', 'airport']
[10.155222, 76.39230510000002, 'transport', 'KOCHI', 'airport']
[9.978994, 76.283569, 'transport', 'KOCHI', 'airport']
[10.2452826, 76.4955336, 'transport', 'KOCHI', 'airport']
[10.1552966, 76.3917385, 'transport', 'KOCHI', 'airport']
[10.1535521, 76.3890827, 'transport', 'KOCHI', 'airport']
[9.997226800000002, 76.3510917, 'transport', 'KOCHI', 'airport']
[9.785372199999998, 76.85020410000001, 'transport', 'KOCHI', 'airport']
[10.0081549, 76.3174818, 'transport', 'KOCHI', 'airport']
[9.995152, 76.3018063, 'transport', 'KOCHI', 'airport']
[9.9868858, 76.3004717, 'transport', 'KOCHI', 'airport']
[9.988283, 76.28793890000001, 'transport', 'KOCHI', 'airport']
[9.9536193, 76.28031450000002, 'transport', 'KOCHI', 'airport']
[9.982608500000001, 76.27407, 'transport', 'KOCHI', 'airport']
[10.0269156, 76.3917388, 'alts', 'KOCHI', 'amusement_park']
[10.2950961, 76.47685969999999, 'alts', 'KOCHI', 'amusement_park']
[10.3069709, 76.39900089999999, 'alts', 'KOCHI', 'amusement_park']
[10.212894, 76.380601, 'alts', 'KOCHI', 'amusement_park']
[10.212894, 76.380601, 'alts', 'KOCHI', 'amusement_park']
[10.212894, 76.380601, 'alts', 'KOCHI', 'amusement_park']
[10.306443, 76.399231, 'alts', 'KOCHI', 'amusement_park']
[10.212894, 76.380601, 'alts', 'KOCHI', 'amusement_park']
[9.9763583, 76.31812020000001, 'alts', 'KOCHI', 'amusement_park']
[10.026972, 77.035508, 'alts', 'KOCHI', 'amusement_park']
[9.884746999999999, 76.293804, 'alts', 'KOCHI', 'amusement_park']
[9.987457, 76.6708106, 'alts', 'KOCHI', 'amusement_park']
[9.990004800000001, 76.5395486, 'alts', 'KOCHI', 'amusement_park']
[9.7593541, 76.4779544, 'alts', 'KOCHI', 'amusement_park']
[9.744301, 76.47151699999999, 'alts', 'KOCHI', 'amusement_park']
[10.2741845, 76.9839296, 'alts', 'KOCHI', 'amusement_park']
[10.0533966, 77.0589413, 'alts', 'KOCHI', 'amusement_park']
[9.9872733, 76.27157989999999, 'alts', 'KOCHI', 'amusement_park']
[9.647597499999998, 76.7277512, 'alts', 'KOCHI', 'amusement_park']
[9.670043, 76.7927277, 'alts', 'KOCHI', 'amusement_park']
[9.989027199999999, 76.304057, 'alts', 'KOCHI', 'aquarium']
[10.0694463, 76.33094489999999, 'alts', 'KOCHI', 'aquarium']
[10.0669076, 76.5166321, 'alts', 'KOCHI', 'aquarium']
[10.1131379, 76.4797049, 'alts', 'KOCHI', 'aquarium']
[10.171568, 76.427313, 'alts', 'KOCHI', 'aquarium']
[10.000406, 76.310176, 'alts', 'KOCHI', 'aquarium']
[10.017963, 76.303099, 'alts', 'KOCHI', 'aquarium']
[9.961473199999999, 76.3058501, 'alts', 'KOCHI', 'aquarium']
